Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,93.425575,95.219467,92.729004,94.904579,71.184067,269800
2006-01-04,96.211830,96.727097,95.801529,96.717560,72.543915,207300
2006-01-05,96.049622,96.536263,95.725189,96.259544,72.200386,277000
2006-01-06,97.442749,98.120232,96.784348,98.053436,73.545914,196200
2006-01-09,97.795799,97.805344,97.204201,97.576332,73.188042,118100
2006-01-10,97.328247,98.005722,97.242363,97.719467,73.295418,223400
2006-01-11,99.875954,100.419846,99.637405,99.952293,74.970169,264200
2006-01-12,99.475189,99.914124,98.874046,99.007637,74.261604,199700
2006-01-13,98.721375,98.940842,98.177483,98.940842,74.211510,146500
2006-01-17,97.251907,97.709923,97.156487,97.461830,73.102165,126000
2006-01-18,96.507637,96.879768,95.677483,96.469467,72.357826,187300
2006-01-19,96.870232,97.585876,96.679390,97.089691,72.823051,121600
2006-01-20,98.024811,98.072517,95.362595,95.419846,71.570564,141000
2006-01-23,96.164124,97.194656,95.887405,96.755722,72.572548,159200
2006-01-24,96.669846,96.822517,95.849236,96.431297,72.329208,127500
2006-01-25,97.118324,97.318703,96.431297,96.994278,72.751480,145600
2006-01-26,99.236641,99.875954,99.017174,99.675575,74.762604,123700
2006-01-27,100.276718,100.715652,99.666031,100.143127,75.113297,116100
2006-01-30,101.240456,101.488548,100.553436,101.173668,75.886269,90300
2006-01-31,101.412216,102.795799,101.145035,102.509544,76.888260,124500
2006-02-01,102.509544,104.122139,102.404579,103.387405,77.546700,272600
2006-02-02,101.603050,102.146950,100.782440,100.896950,75.678719,135200
2006-02-03,98.750000,99.980919,98.587784,99.379768,74.540733,196800
2006-02-06,100.820610,101.049622,100.381676,100.677483,75.514099,216600
2006-02-07,101.603050,102.232826,101.068703,101.364502,76.029404,180600
2006-02-08,101.459923,103.053436,101.183205,102.767174,77.081490,142200
2006-02-09,102.881676,103.683205,102.862595,102.967560,77.231789,140200
2006-02-10,102.786263,103.091606,101.240456,101.593513,76.201180,153900
2006-02-13,101.240456,102.375954,101.211830,102.061066,76.551872,73100
2006-02-14,102.538170,103.473282,102.080154,103.473282,77.611107,126400
2006-02-15,102.146950,102.986641,101.145035,101.870232,76.408722,199000
2006-02-16,102.366409,103.578247,102.270996,103.339691,77.510918,97800
2006-02-17,103.587784,104.007637,103.349236,103.931297,77.954659,82500
2006-02-21,104.961830,105.601143,104.437019,104.818703,78.620262,139400
2006-02-22,104.417938,106.593513,104.332062,106.498093,79.879906,204700
