Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,57.169998,58.490002,56.740002,58.310001,39.802910,5377000
2006-01-04,58.700001,59.279999,58.349998,58.349998,39.830219,7977800
2006-01-05,58.549999,58.590000,58.020000,58.509998,39.939426,5778000
2006-01-06,58.770000,58.849998,58.049999,58.570000,39.980377,6889800
2006-01-09,58.630001,59.290001,58.619999,59.189999,40.403599,4144500
2006-01-10,58.849998,59.220001,58.580002,59.220001,40.424072,4713600
2006-01-11,59.150002,59.880001,58.840000,59.570000,40.849232,5837900
2006-01-12,59.630001,59.779999,59.270000,59.470001,40.780674,3817700
2006-01-13,59.570000,59.669998,59.060001,59.380001,40.718956,3430900
2006-01-17,59.450001,59.459999,58.680000,58.810001,40.328087,2624700
2006-01-18,58.549999,58.900002,58.049999,58.450001,40.081211,2903000
2006-01-19,58.750000,59.980000,58.709999,59.349998,40.698380,3813000
2006-01-20,59.299999,59.549999,57.410000,57.849998,39.669769,5445900
2006-01-23,57.700001,58.689999,57.700001,58.480000,40.101780,3767000
2006-01-24,58.820000,59.450001,58.619999,58.689999,40.245792,3813600
2006-01-25,59.000000,59.419998,58.549999,59.169998,40.574947,4011700
2006-01-26,60.490002,60.500000,59.490002,59.970001,41.123539,5790400
2006-01-27,60.000000,61.000000,59.790001,60.779999,41.678978,3700100
2006-01-30,61.450001,61.849998,60.639999,60.669998,41.603539,4246600
2006-01-31,60.500000,61.910000,60.490002,61.450001,42.138424,5178400
2006-02-01,61.099998,61.959999,60.889999,61.830002,42.399002,3496000
2006-02-02,61.650002,62.139999,60.849998,61.270000,42.014984,3469800
2006-02-03,60.599998,62.150002,60.360001,61.439999,42.131550,3891600
2006-02-06,61.259998,61.910000,61.230000,61.730000,42.330433,2629500
2006-02-07,61.349998,61.540001,60.270000,60.529999,41.507545,3811300
2006-02-08,61.150002,61.360001,60.799999,61.270000,42.014984,2718000
2006-02-09,61.270000,61.900002,61.099998,61.180000,41.953274,2714000
2006-02-10,61.000000,61.139999,59.410000,60.310001,41.356682,4483600
2006-02-13,60.200001,60.580002,59.389999,59.810001,41.013809,4104900
2006-02-14,59.810001,60.459999,59.209999,60.070000,41.192104,3715100
2006-02-15,60.060001,61.060001,59.650002,60.860001,41.733837,2935600
2006-02-16,60.830002,61.349998,60.500000,61.299999,42.035564,2645100
2006-02-17,61.250000,61.349998,60.509998,60.810001,41.699554,3317700
2006-02-21,60.900002,61.279999,60.509998,60.770000,41.672115,2772000
2006-02-22,60.950001,61.779999,60.939999,61.580002,42.227558,3499500
2006-02-23,61.500000,61.500000,60.830002,60.849998,41.726982,2952700
2006-02-24,60.650002,61.380001,60.500000,60.830002,41.713272,3073400
