Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,48.834999,49.369999,48.660000,49.355000,38.205650,2119000
2006-01-04,49.875000,50.465000,49.814999,50.310001,38.944912,1469400
2006-01-05,50.139999,50.575001,50.139999,50.455002,39.057159,1465600
2006-01-06,51.000000,51.535000,50.950001,51.520000,39.881573,1373400
2006-01-09,51.060001,51.395000,50.875000,51.325001,39.730618,1302800
2006-01-10,50.500000,51.099998,50.500000,51.009998,39.486778,1210800
2006-01-11,51.720001,52.730000,51.610001,52.369999,40.539551,1768600
2006-01-12,52.360001,52.500000,52.084999,52.200001,40.407959,1130400
2006-01-13,51.900002,52.360001,51.895000,52.325001,40.504723,673800
2006-01-17,51.595001,51.939999,51.570000,51.845001,40.133156,604800
2006-01-18,51.570000,51.654999,51.029999,51.404999,39.792549,1173800
2006-01-19,51.904999,52.775002,51.895000,52.450001,40.601486,1001800
2006-01-20,52.650002,52.650002,51.470001,51.494999,39.862225,1138200
2006-01-23,52.290001,53.430000,52.290001,53.029999,41.050461,1387600
2006-01-24,52.955002,53.349998,52.849998,53.145000,41.139488,546000
2006-01-25,52.900002,53.090000,52.715000,53.000000,41.027237,1104400
2006-01-26,53.575001,54.160000,53.529999,53.895000,41.720055,850800
2006-01-27,53.875000,54.095001,53.755001,53.994999,41.797466,1245400
2006-01-30,53.549999,53.695000,53.424999,53.665001,41.542015,950000
2006-01-31,53.865002,54.615002,53.770000,54.400002,42.110973,1542000
2006-02-01,54.000000,54.360001,53.974998,54.200001,41.956161,1611400
2006-02-02,54.049999,54.299999,53.480000,53.955002,41.766502,1470200
2006-02-03,52.875000,53.744999,52.814999,53.500000,41.414284,1239800
2006-02-06,53.875000,53.924999,53.595001,53.744999,41.603947,541800
2006-02-07,53.485001,53.735001,53.250000,53.380001,41.321400,874000
2006-02-08,53.485001,53.680000,52.785000,53.575001,41.472340,1354800
2006-02-09,53.814999,53.959999,53.380001,53.404999,41.340748,900600
2006-02-10,53.904999,53.965000,53.375000,53.875000,41.704575,1221200
2006-02-13,53.349998,53.919998,53.330002,53.895000,41.720055,651800
2006-02-14,52.794998,53.575001,52.724998,53.465000,41.387199,1770400
2006-02-15,52.669998,53.200001,52.410000,53.200001,41.182060,1961400
2006-02-16,53.290001,53.724998,53.220001,53.605000,41.495567,1418400
2006-02-17,53.250000,53.529999,53.215000,53.424999,41.356232,762800
2006-02-21,54.450001,54.770000,54.314999,54.419998,42.126453,1445600
2006-02-22,54.584999,55.130001,54.520000,55.049999,42.614140,1294600
2006-02-23,54.945000,55.040001,54.665001,54.790001,42.412876,1053000
2006-02-24,54.314999,54.564999,54.230000,54.349998,42.072269,1283400
2006-02-27,53.700001,54.040001,53.610001,53.880001,41.708450,1143800
2006-02-28,53.244999,53.389999,52.904999,53.115002,41.116261,1214600
2006-03-01,53.950001,53.994999,53.450001,53.785000,41.634907,2960400
2006-03-02,53.724998,54.110001,53.424999,54.084999,41.867134,2160200
2006-03-03,54.169998,54.555000,54.070000,54.299999,42.033569,1653200
2006-03-06,54.389999,54.459999,53.610001,53.924999,41.743279,1130400
2006-03-07,52.389999,52.915001,52.270000,52.799999,40.872417,1104400
2006-03-08,52.474998,52.645000,51.805000,52.185001,40.396358,2558600
2006-03-09,51.799999,52.130001,51.630001,51.785000,40.086712,967600
2006-03-10,52.250000,53.139999,52.075001,53.130001,41.127872,1795000
2006-03-13,53.810001,53.924999,53.255001,53.400002,41.336884,2026600
2006-03-14,54.294998,54.805000,54.224998,54.799999,42.420612,2061800
2006-03-15,55.154999,55.154999,54.375000,54.955002,42.540600,1216600
2006-03-16,54.825001,55.070000,54.674999,54.820000,42.436100,1233400
2006-03-17,54.605000,54.955002,54.415001,54.875000,42.478676,1754600
2006-03-20,55.200001,55.549999,55.044998,55.400002,42.885075,1366200
2006-03-21,55.160000,55.264999,54.625000,54.665001,42.316113,904400
2006-03-22,54.755001,55.090000,54.755001,54.980000,42.559956,600000
