Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,39.400921,40.294930,39.262672,40.165897,27.305296,436700
2006-01-04,40.387096,40.746544,40.387096,40.635944,27.624842,294600
2006-01-05,40.497696,40.543777,40.202766,40.313366,27.405550,200800
2006-01-06,40.728111,41.142857,40.635944,41.041473,27.900528,242200
2006-01-09,40.405529,41.013824,40.258064,40.912441,27.812801,243400
2006-01-10,40.294930,40.433178,40.211983,40.350231,27.430613,190200
2006-01-11,40.460831,40.857143,40.423962,40.764977,27.712557,208500
2006-01-12,40.746544,40.958527,40.543777,40.635944,27.624842,221300
2006-01-13,40.599079,40.654377,40.387096,40.534561,27.555925,127100
2006-01-17,39.649769,39.741936,39.447006,39.677418,26.973227,243500
2006-01-18,39.133640,39.262672,38.949310,39.142857,26.609818,304800
2006-01-19,39.447006,39.622120,39.235023,39.364056,26.760191,376700
2006-01-20,39.548386,39.585255,38.672810,38.737328,26.334133,203900
2006-01-23,39.152073,39.336407,38.940094,39.336407,26.741407,461100
2006-01-24,38.608295,38.958527,38.525345,38.801842,26.378002,497500
2006-01-25,38.976959,38.976959,38.571430,38.801842,26.378002,245600
2006-01-26,39.520737,39.806450,39.465439,39.585255,26.910568,209100
2006-01-27,40.239632,40.294930,39.907833,40.009216,27.198790,216400
2006-01-30,39.511520,39.529953,39.124424,39.336407,26.741407,229300
2006-01-31,39.262672,39.677418,39.207375,39.382488,26.772724,189300
2006-02-01,40.368664,40.654377,40.138248,40.258064,27.367954,271900
2006-02-02,40.304146,40.479263,40.009216,40.175114,27.311569,278700
2006-02-03,39.686634,40.101383,39.585255,39.972351,27.173729,173700
2006-02-06,40.294930,40.322582,39.815670,39.935482,27.148661,135400
2006-02-07,40.027649,40.129032,39.778801,39.806450,27.060932,196100
2006-02-08,40.027649,40.184330,39.723503,40.073734,27.242643,183200
2006-02-09,40.552994,41.050690,40.516129,40.764977,27.712557,247200
2006-02-10,41.529953,41.658985,41.179722,41.502304,28.213804,286000
2006-02-13,41.870968,42.092167,41.640553,41.870968,28.464434,388500
2006-02-14,41.870968,42.359447,41.723503,42.304146,28.758904,239400
2006-02-15,41.612904,41.917049,41.483871,41.806450,28.420567,253800
2006-02-16,41.778801,42.129032,41.631336,42.119816,28.633602,252500
2006-02-17,41.861752,42.110600,41.843319,42.000000,28.552145,196000
2006-02-21,41.502304,41.612904,41.354839,41.539169,28.238876,285500
2006-02-22,42.580647,42.903225,42.552994,42.829494,29.116039,359800
2006-02-23,43.133640,43.317974,42.921658,42.995392,29.228828,345500
2006-02-24,43.225807,43.410137,43.105991,43.133640,29.322805,253300
2006-02-27,43.170506,43.364056,43.087559,43.216591,29.379200,253100
2006-02-28,43.419353,43.447006,42.967743,43.198158,29.366667,322800
2006-03-01,42.396313,42.718895,42.350231,42.497696,29.725809,285500
2006-03-02,42.285713,42.350231,41.898617,42.341015,29.616211,200900
2006-03-03,41.944702,42.543777,41.944702,42.359447,29.629101,203100
2006-03-06,42.322582,42.368664,41.889400,42.082951,29.435705,222000
2006-03-07,41.474655,41.843319,41.456223,41.695854,29.164948,233900
2006-03-08,41.364056,41.723503,41.207375,41.566822,29.074678,222600
2006-03-09,41.437790,41.539169,41.170506,41.170506,28.797480,129500
2006-03-10,41.824886,42.230415,41.714287,42.175114,29.500170,282600
2006-03-13,42.414745,42.682026,42.377880,42.470047,29.706465,228700
2006-03-14,42.986176,43.391705,42.958527,43.308754,30.293104,401400
2006-03-15,43.152073,43.253456,42.801842,43.235023,30.241547,987100
2006-03-16,43.078342,43.539169,43.069126,43.400921,30.357574,186900
2006-03-17,43.870968,43.889400,43.566822,43.852535,30.673475,249500
2006-03-20,44.175114,44.239632,43.834103,44.018433,30.789511,294100
2006-03-21,43.437790,43.705070,43.244240,43.317974,30.299562,282700
2006-03-22,43.529953,44.027649,43.529953,43.981567,30.763727,248000
2006-03-23,43.870968,44.046082,43.539169,43.760368,30.609001,245600
2006-03-24,43.723503,43.963135,43.566822,43.861752,30.679914,150700
2006-03-27,43.428570,43.483871,43.170506,43.336407,30.312456,172500
2006-03-28,43.115208,43.179722,42.599079,42.718895,29.880524,301100
2006-03-29,42.488480,43.032257,42.479263,42.838711,29.964329,464000
2006-03-30,43.474655,43.953918,43.354839,43.511520,30.434956,413300
2006-03-31,43.373272,43.373272,42.995392,43.133640,30.170622,232000
2006-04-03,42.599079,43.299538,42.506912,42.976959,30.061028,224200
2006-04-04,43.198158,43.778801,43.198158,43.705070,30.570316,197600
2006-04-05,43.741936,44.110600,43.585255,43.972351,30.757275,297200
2006-04-06,44.211983,44.516129,44.073734,44.442398,31.086054,427700
2006-04-07,44.866360,45.013824,44.304146,44.792625,31.331022,484000
2006-04-10,44.811058,44.829494,44.396313,44.479263,31.111851,181500
2006-04-11,44.073734,44.147465,43.640553,43.797234,30.634790,360900
2006-04-12,43.907833,44.313366,43.907833,44.119816,30.860428,351800
2006-04-13,43.889400,44.211983,43.788017,44.073734,30.828194,137400
2006-04-17,44.442398,44.608295,44.147465,44.147465,30.879770,168100
2006-04-18,44.101383,44.617512,43.972351,44.589863,31.189205,196400
2006-04-19,44.414745,45.004608,44.377880,44.940094,31.434175,235400
2006-04-20,44.479263,44.672810,44.322582,44.552994,31.163416,191200
2006-04-21,44.709679,44.986176,44.442398,44.746544,31.298801,212400
2006-04-24,44.654377,44.801842,44.377880,44.709679,31.273016,212900
2006-04-25,45.105991,45.161289,44.663593,44.866360,31.382603,209700
2006-04-26,45.142857,45.262672,44.967743,45.087559,31.537325,181600
2006-04-27,44.921658,45.649769,44.672810,45.539169,31.853226,306400
2006-04-28,45.806450,46.359447,45.714287,45.944702,32.136887,218600
2006-05-01,46.285713,46.497696,45.815670,45.953918,32.143318,220200
2006-05-02,46.709679,47.032257,46.635944,47.023041,32.891144,234300
2006-05-03,46.138248,46.193550,45.889400,46.175114,32.298042,277700
2006-05-04,45.852535,46.101383,45.788017,45.990784,32.169109,212600
2006-05-05,46.571430,46.958527,46.414745,46.958527,32.846020,332000
2006-05-08,46.792625,46.820278,46.368664,46.562210,32.568798,350700
2006-05-09,46.433178,46.571430,46.221199,46.479263,32.510777,202300
2006-05-10,46.138248,46.211983,45.806450,46.119816,32.259365,245500
2006-05-11,45.677418,45.677418,45.271889,45.336407,31.711397,333300
2006-05-12,45.013824,45.225807,44.433178,44.672810,31.247232,386900
2006-05-15,44.046082,44.433178,43.898617,44.184330,30.905544,331500
2006-05-16,44.599079,44.709679,44.202766,44.516129,31.137646,298900
2006-05-17,43.797234,43.953918,42.433178,42.635944,29.822496,607600
2006-05-18,42.857143,43.096775,42.433178,42.645161,29.828957,304200
2006-05-19,42.700462,42.801842,42.129032,42.663593,29.841854,397800
2006-05-22,41.797234,41.907833,40.930874,41.612904,29.106916,409500
2006-05-23,42.221199,42.626728,42.119816,42.221199,29.532400,495000
2006-05-24,41.741936,41.760368,40.949310,41.529953,29.048897,579600
2006-05-25,41.548386,41.917049,41.253456,41.788017,29.229418,444700
2006-05-26,41.778801,42.129032,41.364056,42.073734,29.429255,450400
2006-05-30,41.732719,41.741936,40.967743,41.115208,28.758787,681000
2006-05-31,41.926266,42.792625,41.907833,42.718895,29.880524,453500
2006-06-01,42.700462,43.539169,42.423962,43.493088,30.422045,515000
2006-06-02,43.493088,43.649769,43.253456,43.640553,30.525196,352700
2006-06-05,43.225807,43.225807,42.423962,42.451614,29.693571,372000
2006-06-06,41.953918,42.092167,41.474655,42.073734,29.429255,426500
2006-06-07,42.046082,42.635944,41.824886,42.101383,29.448593,335500
2006-06-08,41.502304,41.658985,40.783409,41.539169,29.055349,459000
2006-06-09,41.585255,41.898617,41.410137,41.447006,28.990879,322300
2006-06-12,41.198158,41.308754,40.737328,40.801842,28.539604,288200
2006-06-13,40.525345,40.801842,39.815670,40.092167,28.043221,550300
2006-06-14,40.451614,40.847927,39.880184,40.294930,28.185040,303600
2006-06-15,40.746544,41.382488,40.663593,41.271889,28.868389,357900
2006-06-16,41.327190,41.410137,41.032257,41.290321,28.881285,192100
2006-06-19,41.548386,41.566822,40.847927,40.921658,28.623404,202200
2006-06-20,40.958527,41.327190,40.691246,40.995392,28.674997,209400
2006-06-21,40.995392,41.511520,40.838711,41.410137,28.965084,267100
2006-06-22,41.059906,41.115208,40.755760,40.967743,28.655647,304600
2006-06-23,40.285713,40.635944,40.092167,40.460831,28.301081,310200
2006-06-26,40.175114,40.746544,40.175114,40.672810,28.449347,268600
2006-06-27,40.313366,40.322582,39.889400,39.898617,27.907827,202000
2006-06-28,40.276497,40.451614,40.064518,40.368664,28.236614,320500
2006-06-29,40.783409,41.990784,40.700462,41.953918,29.345446,441900
2006-06-30,42.285713,42.396313,42.027649,42.193550,29.513056,315100
2006-07-03,42.589863,42.700462,42.258064,42.599079,29.796717,183100
2006-07-05,42.202766,42.543777,42.018433,42.423962,29.674238,221600
2006-07-06,42.709679,42.949310,42.580647,42.682026,29.854734,447500
2006-07-07,43.179722,43.317974,42.894009,42.903225,30.009462,373000
2006-07-10,42.405529,42.552994,42.184330,42.350231,29.622652,411500
2006-07-11,41.852535,42.092167,41.410137,42.027649,29.397020,383500
2006-07-12,41.437790,41.539169,40.930874,40.967743,28.655647,347700
2006-07-13,40.433178,40.635944,40.230415,40.285713,28.178589,430000
2006-07-14,40.248848,40.248848,39.861752,40.193550,28.114124,478400
2006-07-17,39.723503,40.322582,39.539169,39.843319,27.869150,461900
2006-07-18,40.258064,40.276497,39.741936,40.138248,28.075439,267800
2006-07-19,40.221199,41.658985,40.202766,41.529953,29.048897,301400
